"Gene symbol (zebrafish, Ensembl/ZFIN)",Common aliases,"Gene name (Ensembl/ZFIN, authoritative)",Gene name (plain-language label),Ensembl gene ID (D. rerio),ZFIN ID,Chr (GRCz11),Start (GRCz11),End (GRCz11),Strand,Biotype,ID verification note,Ensembl link,ZFIN link,Pathway group,Pathway / family (detail),Trait category,Evidence type,Evidence strength,Verification depth,Source species,Reported locus in source study,Proposed effect on growth,Primary reference (verified),Reference title,DOI,PMID,source_catalog,gene_symbol_norm,evidence_bucket,in_pangasius_catalog,has_verified_marker_variant,method,confidence,catfish_symbol,chrom_acc,start,end,note,cat_chrom,pos_check,locus_key,shared_locus_with
smad4a,SMAD4,SMAD family member 4a,SMAD family member 4a,ENSDARG00000075226,ZDB-GENE-990603-8,10,573667.0,590083.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Muscle mass,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Common co-SMAD required for TGF-beta/BMP transcriptional output,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,smad4a,C,False,False,direct_symbol_match,high,smad4a,NC_069726.1,4980695.0,4993180.0,,chr17,ok,chr17:4980695-4993180,
smad7,SMAD7,SMAD family member 7,SMAD family member 7,ENSDARG00000016858,ZDB-GENE-030128-3,21,3419459.0,3452683.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Muscle mass,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Inhibitory SMAD antagonising myostatin signalling; pro-growth,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,smad7,C,False,False,direct_symbol_match,high,smad7,NC_069724.1,22528375.0,22550255.0,,chr15,ok,chr15:22528375-22550255,
smtla,"SL, somatolactin alpha",somatolactin alpha,somatolactin alpha,ENSDARG00000038191,ZDB-GENE-060123-2,18,48168755.0,48178125.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,GH/PRL family,Body size; lipid deposition,Functional; Pathway core,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oryzias latipes,,GH/PRL-family pituitary hormone; ectopic somatolactin expression in transgenic zebrafish larvae alters growth and lipid-related phenotypes. NOTE: the medaka colour-interfere (somatolactin) mutant is characterised for pigment-cell phenotypes; body-size claims for it are not supported by the cited paper.,Wan G et al. (2010) Journal of Molecular Endocrinology 45:301-315; Fukamachi S et al. (2004) PNAS 101:10661-10666,A study of somatolactin actions by ectopic expression in transgenic zebrafish larvae | Somatolactin selectively regulates proliferation and morphogenesis of neural-crest derived pigment cells in medaka,10.1677/JME-09-0173; 10.1073/pnas.0401278101,20801895; 15249680,teleost,smtla,A,False,False,direct_symbol_match,high,smtla,NC_069715.1,6982496.0,7004394.0,,chr6,ok,chr6:6982496-7004394,
smtlb,SLb,somatolactin beta,somatolactin beta,ENSDARG00000017251,ZDB-GENE-060123-1,10,39314578.0,39321367.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,GH/PRL family,Body size,Expression; Pathway core,"B - verified primary study, supporting evidence",Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oncorhynchus mykiss,,Second somatolactin paralogue; expressed in the developing zebrafish pituitary. No teleost growth-association study cited.,Lopez M et al. (2006) Gene Expression Patterns 6:156-161,Expression of the somatolactin beta gene during zebrafish embryonic development,10.1016/j.modgep.2005.06.010,16326145,teleost,smtlb,B,False,False,direct_symbol_match,high,smtlb,NC_069726.1,2747294.0,2750116.0,,chr17,ok,chr17:2747294-2750116,
smyhc1,"MYH, slow MyHC",slow myosin heavy chain 1,slow myosin heavy chain 1,ENSDARG00000099959,ZDB-GENE-030131-271,24,40656510.0,40668208.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Sarcomere,Muscle fibre type,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Slow (red) muscle myosin heavy chain determining fibre-type composition,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,smyhc1,C,False,False,blast_ortholog,high,LOC117597793,NC_069710.1,6057925.0,6068417.0,BLAST ortholog (protein XP_053086917.1),chr1,ok,chr1:6057925-6068417,
socs1a,SOCS1,suppressor of cytokine signaling 1a,suppressor of cytokine signaling 1a,ENSDARG00000038095,ZDB-GENE-040801-205,3,26813058.0,26814953.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,GH signal transduction,Growth inhibition,Pathway core,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio,,Negative feedback inhibitor of JAK-STAT growth signalling,Perez-Sanchez J et al. (2018) Frontiers in Endocrinology 9:687,Somatotropic axis regulation unravels the differential effects of nutritional and environmental factors in growth performance of marine farmed fishes,10.3389/fendo.2018.00687,30538673,teleost,socs1a,B,False,False,direct_symbol_match,high,socs1a,NC_069722.1,24685034.0,24687237.0,,chr13,ok,chr13:24685034-24687237,
socs2,SOCS2,suppressor of cytokine signaling 2,suppressor of cytokine signaling 2,ENSDARG00000045557,ZDB-GENE-041210-171,4,18432182.0,18436899.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,GH signal transduction,Body size,Pathway core; Functional,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Salmo salar,,Classical brake on GH signalling; loss-of-function causes gigantism in mammals,Perez-Sanchez J et al. (2018) Frontiers in Endocrinology 9:687,Somatotropic axis regulation unravels the differential effects of nutritional and environmental factors in growth performance of marine farmed fishes,10.3389/fendo.2018.00687,30538673,teleost,socs2,B,False,False,blast_ortholog,medium,LOC113545627,NC_069725.1,2256367.0,2265679.0,BLAST ortholog (protein XP_053096973.1),chr16,ok,chr16:2256367-2265679,
socs3a,SOCS3,suppressor of cytokine signaling 3a,suppressor of cytokine signaling 3a,ENSDARG00000025428,ZDB-GENE-030131-7349,3,57423137.0,57425961.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,GH signal transduction,Growth inhibition,Pathway core; Expression,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Sparus aurata,,Inflammation-induced GH resistance; suppresses igf1 during stress,Perez-Sanchez J et al. (2018) Frontiers in Endocrinology 9:687,Somatotropic axis regulation unravels the differential effects of nutritional and environmental factors in growth performance of marine farmed fishes,10.3389/fendo.2018.00687,30538673,teleost,socs3a,B,False,False,direct_symbol_match,high,socs3a,NC_069722.1,14643768.0,14646356.0,,chr13,ok,chr13:14643768-14646356,
socs3b,SOCS3b,suppressor of cytokine signaling 3b,suppressor of cytokine signaling 3b,ENSDARG00000026611,ZDB-GENE-040426-2528,12,34258139.0,34277465.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,GH signal transduction,Growth inhibition,Pathway core,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio,,Duplicated SOCS3; GH signalling brake,Perez-Sanchez J et al. (2018) Frontiers in Endocrinology 9:687,Somatotropic axis regulation unravels the differential effects of nutritional and environmental factors in growth performance of marine farmed fishes,10.3389/fendo.2018.00687,30538673,teleost,socs3b,B,False,False,direct_symbol_match,high,socs3b,NC_069721.1,13903266.0,13906578.0,,chr12,ok,chr12:13903266-13906578,
sox9a,SOX9,SRY-box transcription factor 9a,SRY-box transcription factor 9a,ENSDARG00000003293,ZDB-GENE-001103-1,12,1947593.0,1951284.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",Chondrogenesis,Skeletal growth; body shape,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Master chondrogenic transcription factor,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,sox9a,C,False,False,direct_symbol_match,high,sox9a,NC_069721.1,4206309.0,4212503.0,,chr12,ok,chr12:4206309-4212503,
sox9b,SOX9b,SRY-box transcription factor 9b,SRY-box transcription factor 9b,ENSDARG00000043923,ZDB-GENE-001103-2,3,62521041.0,62527696.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",Chondrogenesis,Skeletal growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Duplicated SOX9; craniofacial cartilage,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,sox9b,C,False,False,blast_ortholog,high,LOC113528350,NC_069722.1,15852310.0,15856505.0,BLAST ortholog (protein XP_026772661.1),chr13,ok,chr13:15852310-15856505,
sp7,"SP7, osterix",Sp7 transcription factor,Sp7 transcription factor,ENSDARG00000019516,ZDB-GENE-040629-2,6,58622831.0,58674160.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",Osteogenesis,Skeletal growth,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Downstream of RUNX2; required for osteoblast maturation and bone growth,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,sp7,C,False,False,direct_symbol_match,high,sp7,NC_069711.1,11293394.0,11297483.0,,chr2,ok,chr2:11293394-11297483,
sparc,"SPARC, osteonectin","secreted protein, acidic, cysteine-rich (osteonectin)",secreted protein acidic and cysteine rich,ENSDARG00000019353,ZDB-GENE-030131-9,14,25937948.0,25956860.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM / skeletal,Body weight,GWAS/QTL; Expression,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oreochromis spp.; Danio rerio,LG2; LG2 ~77 kb from BW QTL,Bone matrix glycoprotein; near a body weight QTL in tilapia,Lin G et al. (2019) Frontiers in Genetics 10:244,Transcriptome analysis identified genes for growth and omega-3/-6 ratio in saline tilapia,10.3389/fgene.2019.00244,30949199,teleost,sparc,A,False,False,direct_symbol_match,high,sparc,NC_069716.1,21045457.0,21055461.0,,chr7,ok,chr7:21045457-21055461,
sqstm1,"SQSTM1, p62",sequestosome 1,sequestosome 1,ENSDARG00000075014,ZDB-GENE-040426-2204,14,16765992.0,16771405.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Muscle protein turnover & proteolysis,Autophagy,Protein turnover,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Autophagy receptor; marker of autophagic flux in muscle,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,sqstm1,C,False,False,direct_symbol_match,high,sqstm1,NC_069716.1,8136897.0,8141082.0,,chr7,ok,chr7:8136897-8141082,
srebf1,SREBP-1,sterol regulatory element binding transcription factor 1,sterol regulatory element binding transcription factor 1,ENSDARG00000067607,ZDB-GENE-090812-3,3,62064805.0,62087346.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Lipogenesis,Lipid deposition,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Oncorhynchus mykiss,,Insulin-responsive master lipogenic transcription factor,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,srebf1,C,False,False,direct_symbol_match,high,srebf1,NC_069722.1,10869343.0,10890737.0,,chr13,ok,chr13:10869343-10890737,
srebf2,SREBP-2,sterol regulatory element binding transcription factor 2,sterol regulatory element binding transcription factor 2,ENSDARG00000063438,ZDB-GENE-070410-8,3,1107102.0,1130892.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Lipid metabolism,Lipid deposition,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Cholesterol biosynthesis regulation,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,srebf2,C,False,False,direct_symbol_match,high,srebf2,NC_069738.1,984188.0,998722.0,,chr29,ok,chr29:984188-998722,
srgap1a,SRGAP1; srgap1,SLIT-ROBO Rho GTPase activating protein 1a,SLIT-ROBO Rho GTPase activating protein 1,ENSDARG00000007461,ZDB-GENE-050420-284,18,12867400.0,13056801.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Other growth signalling & trafficking,Cytoskeleton signalling,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oreochromis niloticus; Danio rerio,,Intercepted by body-trait lead SNP in tilapia,Yoshida GM et al. (2021) BMC Genomics 22:57,Multi-trait GWAS using imputed high-density genotypes from whole-genome sequencing identifies genes associated with body traits in Nile tilapia,10.1186/s12864-020-07341-z,33451291,teleost,srgap1a,A,False,False,direct_symbol_match,high,srgap1a,NC_069715.1,9302911.0,9397146.0,,chr6,ok,chr6:9302911-9397146,
star,StAR,steroidogenic acute regulatory protein,steroidogenic acute regulatory protein,ENSDARG00000006137,ZDB-GENE-001120-3,8,44703854.0,44707937.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Thyroid & stress axis,Stress axis,Growth-stress trade-off,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Rate-limiting step in cortisol synthesis,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,star,C,False,False,direct_symbol_match,high,star,NC_069717.1,28978527.0,28985334.0,,chr8,ok,chr8:28978527-28985334,
stard3,STARD3,StAR related lipid transfer domain containing 3,StAR related lipid transfer domain containing 3,ENSDARG00000017809,ZDB-GENE-001120-2,19,4968947.0,4985996.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Lipid transport,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy13,Mediates cholesterol/lipid transfer; trout growth candidate,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,stard3,A,False,False,direct_symbol_match,high,stard3,NC_069732.1,1204708.0,1226814.0,,chr23,ok,chr23:1204708-1226814,
stat3,STAT3,signal transducer and activator of transcription 3 (acute-phase response factor),signal transducer and activator of transcription 3,ENSDARG00000022712,ZDB-GENE-980526-68,3,17030665.0,17107445.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,GH signal transduction,Body weight,GWAS/QTL; Pathway core,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,"Omy13; growth GWAS, Omy13",Within growth-associated window on Omy13; knockdown inhibits cell proliferation,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,stat3,A,False,False,direct_symbol_match,high,stat3,NC_069722.1,6751365.0,6782252.0,,chr13,ok,chr13:6751365-6782252,
stat5a,STAT5,signal transducer and activator of transcription 5a,signal transducer and activator of transcription 5a,ENSDARG00000019392,ZDB-GENE-030820-2,3,17251542.0,17331919.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,GH signal transduction,Growth rate; body size,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio; Oreochromis niloticus,,GH-responsive STAT5 paralogue acting downstream of GHR-JAK2 to drive igf1 transcription. No teleost growth-association study cited for this paralogue specifically.,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,stat5a,C,False,False,direct_symbol_match,high,stat5a,NC_069722.1,6662923.0,6743437.0,,chr13,ok,chr13:6662923-6743437,
stat5b,STAT5b,signal transducer and activator of transcription 5b,signal transducer and activator of transcription 5b,ENSDARG00000055588,ZDB-GENE-040818-1,12,13560082.0,13650472.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,GH signal transduction,Body weight; body length; sexual size dimorphism,GWAS/QTL; Functional; Pathway core,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Pelteobagrus fulvidraco; Danio rerio,"Chr15:19195072 (exonic, P. fulvidraco)",Exonic SNP Chr15:19195072 associated with body weight and body length in yellow catfish and shared across sexes; transgenic yellow catfish and zebrafish expressing yellow catfish stat5b showed increased growth rate and reduced sexual size dimorphism. Also the GH-responsive transcription factor driving igf1 transcription.,Huang P et al. (2022) Genomics 114:110380,Genome-wide association study reveals the genetic basis of growth trait in yellow catfish with sexual size dimorphism,10.1016/j.ygeno.2022.110380,35533968,teleost,stat5b,A,False,False,direct_symbol_match,high,stat5b,NC_069721.1,1578859.0,1597480.0,,chr12,ok,chr12:1578859-1597480,
stc1,STC1,stanniocalcin 1,stanniocalcin 1,ENSDARG00000003303,ZDB-GENE-060825-79,8,50322769.0,50346246.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,Somatotropic (GH/IGF) axis,Body size; skeletal growth,Pathway core; Functional,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oncorhynchus mykiss,,"Inhibits PAPPA, reducing IGF bioavailability; overexpression causes dwarfism",Wang Z et al. (2025) Frontiers in Endocrinology 16:1729649,Stc2a inhibits IGF-stimulated somatic growth in favor of organismal survival under hypoxic stress,10.3389/fendo.2025.1729649,41573204,teleost,stc1,A,False,False,direct_symbol_match,high,stc1,NC_069717.1,25264530.0,25279932.0,,chr8,ok,chr8:25264530-25279932,
stc2a,STC2,stanniocalcin 2a,stanniocalcin 2a,ENSDARG00000056680,ZDB-GENE-041008-14,14,24215046.0,24221965.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,Somatotropic (GH/IGF) axis,Body size,Pathway core; Functional,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio,,PAPPA inhibitor; negative regulator of postnatal growth,Wang Z et al. (2025) Frontiers in Endocrinology 16:1729649,Stc2a inhibits IGF-stimulated somatic growth in favor of organismal survival under hypoxic stress,10.3389/fendo.2025.1729649,41573204,teleost,stc2a,A,False,False,direct_symbol_match,high,stc2a,NC_069718.1,9478952.0,9484121.0,,chr9,ok,chr9:9478952-9484121,
stc2b,STC2b,stanniocalcin 2b,stanniocalcin 2b,ENSDARG00000102206,ZDB-GENE-120203-5,21,41511469.0,41531434.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,Somatotropic (GH/IGF) axis,Body size,Pathway core,"B - verified primary study, supporting evidence",Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio,,Paralogue of STC2; IGF axis brake,Wang Z et al. (2025) Frontiers in Endocrinology 16:1729649,Stc2a inhibits IGF-stimulated somatic growth in favor of organismal survival under hypoxic stress,10.3389/fendo.2025.1729649,41573204,teleost,stc2b,B,False,False,direct_symbol_match,high,stc2b,NC_069724.1,13339340.0,13343055.0,,chr15,ok,chr15:13339340-13343055,
suco,"SUCO, SUN domain ossification factor",SUN domain containing ossification factor,SUN domain containing ossification factor,ENSDARG00000016532,ZDB-GENE-030131-2941,20,14683699.0,14781904.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",Osteogenesis,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy4,Mutagenesis causes failure of osteoblast maturation,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,suco,A,False,False,direct_symbol_match,high,suco,NC_069728.1,5388527.0,5438905.0,,chr19,ok,chr19:5388527-5438905,
tcap,"TCAP, telethonin",titin-cap (telethonin),titin-cap,ENSDARG00000007344,ZDB-GENE-070501-5,3,21240594.0,21242460.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myogenesis & sarcomere,Sarcomere,Body weight; fibre size,GWAS/QTL; Functional,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy13,TCAP-null animals show abnormal myofibre size variation; within trout growth window,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,tcap,A,False,False,direct_symbol_match,high,tcap,NC_069722.1,7962215.0,7963631.0,,chr13,ok,chr13:7962215-7963631,
tes,"TES, testin",testis derived transcript (3 LIM domains),testin LIM domain protein,ENSDARG00000051857,ZDB-GENE-040718-59,25,18475032.0,18496410.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",Cell proliferation,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy2,Negatively regulates proliferation; growth-associated in trout,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,tes,A,False,False,direct_symbol_match,high,tes,NC_069716.1,27882408.0,27894307.0,,chr7,ok,chr7:27882408-27894307,
tfam,TFAM,"transcription factor A, mitochondrial","transcription factor A, mitochondrial",ENSDARG00000063145,ZDB-GENE-061013-552,12,7254112.0,7263958.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Mitochondrial biogenesis,Growth traits,GWAS/QTL,"B - verified primary study, supporting evidence","Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Downgraded: positional mention only, not presented as a candidate gene by the paper.",Paralichthys olivaceus; Danio rerio,chr14,Mitochondrial biogenesis regulator within multi-trait growth region. NOTE: the flounder paper lists this gene only as sitting within a chromosome-14 SNP region; it does not characterise it as a growth candidate.,Liang S et al. (2026) Biology 15:1246,Genetic dissection of growth traits and identification of candidate genes in Japanese flounder (Paralichthys olivaceus) using single- and multi-trait genome-wide association analyses,10.3390/biology15151246,,teleost,tfam,B,False,False,direct_symbol_match,high,tfam,NC_069721.1,7365182.0,7372908.0,,chr12,ok,chr12:7365182-7372908,
tg,"TG, thyroglobulin",thyroglobulin,thyroglobulin,ENSDARG00000020084,ZDB-GENE-030519-1,16,31530762.0,31598771.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Thyroid & stress axis,Thyroid axis,Growth rate,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Thyroid hormone precursor protein,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,tg,C,False,False,direct_symbol_match,high,tg,NC_069710.1,20352943.0,20390518.0,,chr1,ok,chr1:20352943-20390518,
tgfb1a,TGFB1,"transforming growth factor, beta 1a",transforming growth factor beta 1a,ENSDARG00000041502,ZDB-GENE-030618-1,15,2776506.0,2803313.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Muscle; connective tissue,Pathway core,"C - pathway annotation only, no primary study cited",Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Attribution removed: the paper validated no TGFB1 variant.,Danio rerio,,"Core TGF-beta signalling; regulates myoblast proliferation and ECM deposition. NOTE: the largemouth bass study names the myostatin/TGF-beta PATHWAY as enriched among differentially expressed genes but validated no TGFB1 marker - its three validated SNPs are in PEPCK1, FOXO3b and HSPB1.",No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,tgfb1a,C,False,False,direct_symbol_match,high,tgfb1a,NC_069730.1,6402678.0,6426607.0,,chr21,ok,chr21:6402678-6426607,
tgfb2,TGFB2,"transforming growth factor, beta 2",transforming growth factor beta 2,ENSDARG00000027087,ZDB-GENE-030723-3,16,2745006.0,2807527.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Harvest body weight (differential expression),Expression,"B - verified primary study, supporting evidence",Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Evidence type corrected from GWAS/QTL to Expression: the study performed no association test.,Labeo rohita; Danio rerio,"chr14:22,069,302 (A/G, 3'UTR; L. rohita)","TGF-beta ligand and regulator of cell proliferation. A 3'UTR cSNP at chr14:22,069,302 sits in a differentially expressed transcript. NOTE: the rohu study is an mRNA-seq differential-expression study with coding-SNP discovery inside differentially expressed transcripts. It ran NO genome-wide association test - the authors recommend these genes for future SNP-array construction and GWAS. These variants are candidates, not validated marker-trait associations.",Nandanpawar P et al. (2023) Frontiers in Genetics 14:1153911,"Identification of differentially expressed genes and SNPs linked to harvest body weight of genetically improved rohu carp, Labeo rohita",10.3389/fgene.2023.1153911,37359361,teleost,tgfb2,B,False,False,direct_symbol_match,high,tgfb2,NC_069710.1,2145965.0,2166666.0,,chr1,ok,chr1:2145965-2166666,
tgfb3,TGFB3,"transforming growth factor, beta 3",transforming growth factor beta 3,ENSDARG00000019367,ZDB-GENE-030723-4,17,52059020.0,52091999.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Myostatin / TGF-beta / BMP,Myostatin / TGF-beta,Muscle; skeletal,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,TGF-beta ligand in craniofacial and muscle development,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,tgfb3,C,False,False,direct_symbol_match,high,tgfb3,NC_069719.1,10329448.0,10347133.0,,chr10,ok,chr10:10329448-10347133,
